MefareshDesc,AuthorName
עין מאיר,"מר' מאיר ב""ר ליפמן טויבער מניישטאדט (תקע""ח-תרנ""ח)"
חסדי יונתן,"מר' יהונתן אייבשיץ מפראג (ת""ן-תקכ""ד)"
משנה לחם,"מהרב יחיאל מיכל ב""ר פתחיה מיאברוב (ת""ן-תק""כ בערך)"
חלקו של יוסף,"יוסף זיסמאנאוויץ (תרנ""ד-תש""א)"
עבודת לוי,"מר' יעקב יצחק ב""ר יהודה לייב רודערמאן (תרס""א-תשמ""ז)"
רדבז,
זכותא דאברהם,"מאדמו""ר ר' אברהם מטשעכנאווי (נלב""ע תרל""ה)"
מגיד משנה להלכות שחיטה,
זבחים שלמים,"ר' אברהם ב""ר מרדכי אנקאווא (נולד תק""ע בערך)"
נאם דוד,"מר' דוד ב""ר שמואל מועטי"
מזל שעה,"מהרב שלמה ב""ר יאודה משאלוניקי (נלב""ע תקפ""ז)"
חשק שלמה,"מר' שלמה הכהן מווילנא (תקצ""א-תרס""ו)"
וזאת ליהודה,"יהודה עייאש אב""ד אלג'יר (נלב""ע תקכ""א)"
תורת הנזיר,"מר' יצחק הוטנער (תרס""ו-תשמ""א)"
אורח מישור,"יוחנן ב""ר מאיר קרמניצר מקאליש (תכ""ה-תצ""ה בערך)"
חיל המקדש,"מר' חיים יעקב ב""ר אריה לוין (תרע""ב-תשנ""ג)"
שלמי ירוחם,"ר' ירוחם אשר ורהפטיג (תרל""ד-תשכ""ט בערך)"
חיבור על כלאים (דת אש),"אורי שרגא פייביש חלפון מפראג (נלב""ע תס""ז)"
דגל יהודה,"ר' מאיר יהודה בילוסטוצקי (תר""ס בערך-תש""י)"
אור פני מלך,"מר' ניסן מאיר פייבל זק""ש (תרפ""ד-תשל""ו)"
הר בשן,"כ""ק מרן אדמו""ר מללוב זצ""ל ב""ב (נלב""ע תש""ע)"
אשדות הפסגה,"מר' יוסף נחמולי (ת""ק-תק""ס בערך)"
עיטור בכורים,"מר' גרשון אריאלי מח""ס תורת המלך (בחיים)"
תקנת עזרא,"מר' עזרא ב""ר יהודא לייב אלטשולער (תרי""ט-תרצ""ח)"
יד ושם הל' שביעית,"לצרף לספר תורת ישראל מר' ישראל פייגנבוים (תר""פ-תשנ""ו)"
הר המוריה,"ר' מאיר יונה בארנאצקי (תקע""ז-תרנ""א)"
מעשי למלך,"מר' ישעיה זילברשטיין אב""ד וואיטצען (תרי""ז-תר""צ)"
לחם שמים,"מהרב יעקב ב""ר צבי אשכנזי (תנ""ח-תקל""ו)"
יכהן פאר,"חנוך צבי הכהן לוין (תרל""א-תרצ""ה)"
דין אמת,"יצחק ב""ר יאודה נבון מקושטה (תצ""ג-תקמ""ז)"
מטה אשר,"מר' אשר ב""ר עמנואל שלם (נלב""ע תק""י בערך)"
